article,content
민주·한국 종부세 또 깎았다…남북경협 예산도 1천억 삭감,선거개혁 패싱 양당 합의문 내용 보니… 일자리·남북 깎고 SOC 늘려  곽재훈 기자  더불어민주당과 자유한국당이 야3당의 선거제도 개혁안 연계 요구를 거부하고 확정한 예산 관련 합의문이 공개됐다. 홍영표 민주당 원내대표와 김성태 한국당 원내대표는 6일 오후 국회에서 김동연 경제부총리와 함께 합의문 내용을 발표했다. 양당 합의 내용을 보면 이들은 예산안 및 기금안 부수법안 등을 7일 또는 8일 새벽 본회의에서 처리하되 정부 예산안에서 일자리 예산 및 남북협력기금 일반회계 전입금 등을 포함해 총 5조 원 이상 을 깎아내기로 했다. 이는 한국당의 요구에 따른 것이다. 삭감 대상이 된 일자리 예산으로는 취업성공패키지 청년내일채움공제 청년구직활동지원금 청년추가고용장려금 등 이 꼽혔다. 또 양당은 공무원 증원과 관련해 정부 요구 인력 중 3000명을 감축 하기로 했다. 이 역시 한국당이 강하게 주장하던 내용이다. 남북협력기금 삭감 폭은 1000억 원 정도 일자리 예산 삭감분은 5000억 원 내외라고 양당 원내대표는 설명했다. 홍 원내대표는 다만 정부가 추진하고자 하는 사업들에 지장이 없는 범위 라고 부연했다. 증액된 부분은 과거 민주당이 토목 예산 이라며 반발하던 SOC 사회간접자본 였다. 양당은 경제 활성화와 일자리 확대 및 지역 균형발전을 위해 2019년도 SOC 예산을 확대 조정한다 는 데 합의했다. 홍 원내대표는 SOC 증액 규모는 18조5000억 원 이라며 한국당은 더 늘리자고 했는데 민주당은 예산에 직접 반영하지는 말고 다른 방안을 찾아보자고 했다 고 전했다. 예산 부수법안인 세법과 관련해서도 진보진영이 후퇴 로 평가할 만한 내용이 담겼다. 양당은 9.13 부동산 대책 당시 조정대상지역 내 다주택자의 세 부담을 현행 150%에서 300%로 인상하기로 한 것과 관련 세 부담 상한을 300%가 아닌 200%로 완화 하기로 합의했다. 양당은 또 1세대 1주택자의 보유 기간에 대한 세액공제율을 15년 이상 보유시 50%로 상향 연령에 따른 세액공제율과 합산 최대 70% 하는 방안 에도 합의했다. 9.13 대책에서는 거주 기간이 2년 미만일 경우 15년 이상 보유해도 세액공제율은 30%로 제한됐었다. 민주당 측의 주장이 반영된 것으로 해석되는 것은 고용보험 지급수준을 현행 평균임금 50%에서 60%로 상향하고 지급 기간을 최장 270일 현행 120일 로 늘리는 등 고용보험 보장성을 강화한 것과 근로장려세제 EITC 혜택을 정부안 원안대로 유지한 것 등이 꼽힌다. 여야는 또 앞서 국회 보건복지위원회에서 합의한 대로 내년 1월부터 소득 수준과 무관하게 0 5세 아동 100%에게 월 10만 원의 아동수당을 지급하고 같은해 9월부터는 초등학교 입학 전 모든 아동으로 지급 대상을 확대하기로 했다. 한편 여야 양당은 예산 합의와는 별도로 이른바 유치원 3법 에 대해 7일 본회의에서 처리하도록 논의했다고 홍 원내대표가 밝혔다. 그는 내일 오전 중에 원내대표들끼리 교육위 간사들을 불러놓고 조율해서 최종적으로 처리하려 한다 며 김 원내대표도 원칙적으로 내일 처리하자는 데 동의했다 고 전했다. 다음은 양당 합의문 전문 全文 . 2019 예산안 관련 여야 합의문 여야는 2019년도 예산안과 관련하여 다음과 같이 합의하였다.1. 20019년도 예산안은 2017 회계연도 결산 및 예비비지출 승인의 건 2018년도 순국선열·애국지사사업 기금운용계획변경안과 함께 12월7일 본회의에서 처리한다.2. 2019년도 예산안 중 감액 규모는 취업성공패키지 청년내일채움공제 청년구직활동지원금 청년추가고용장려금 등 일자리 예산 및 남북협력기금의 일반회계 전입금 등을 포함하여 총 5조원 이상으로 한다.3. 고용보험의 구직급여 지급수준 상향 평균임금의 50%→60% 및 지급기간 연장 90일 20일→120일 270일 등 보장성 강화 방안은 고용보험법 개정을 통해 2019년도 7월부터 시행한다.4. 2019년도 국가직 공무원은 필수인력인 의경대체 경찰인력 및 집배원의 정규직 전환 등을 제외한 정부의 증원 요구인력 중 3000명을 감축한다.5. 아동수당은 2019년도 1월부터 소득수준과 관계없이 만 0세에서 만 5세까지 아동을 대상으로 월 10만 원을 지급하고 2019년도 9워부터는 지급대상을 초등학교 입학 전 아동 최대 생후 84개월 까지 확대한다. 정부는 저출산 극복을 위해 연구용역 등을 통해 아동수당의 확대 및 출산장려금 난임치료 확대 등 출산 지원 제도의 획기적인 발전방안을 마련한다.6. 정부는 지방자치단체와 협의하여 지방자치단체 예산편성 운영 기준 개정을 통해 이 통장 활동수당을 인상하는 방안을 강구하고 경제활성화와 일자리 확대 및 지역균형 발전을 위하여 2019년도 SOC예산을 확대 조정한다.7. 지방소비세는 지방의 자주재원 확충을 위해 현행 부가가치세의 11퍼센트에서 15퍼센트로 인상한다.8. 근로장려세제 ETTC 는 정부안을 유지하되 2018년 9월 13일에 발표한 주택시장 안정대책 에 따른 종합부동산세는 조장대상 지역내의 2주택에 대한 세부담 상환을 200%로 완화하고 1세대 1주택자의 보유기간에 대한 세액공제율을 15년 이상 보유시 50%로 상향 연령에 대한 세액공제율과 합하여 최대 70% 한다 하는 방안을ㄹ 반영하여 세입예산 부수법안과 함께 처리한다.9. 정부는 2019년도 예산안이 국회에 제출된 이후 추진된 지방재정분권에 따른 지방소비세 인상 유류세 인하 등으로 발생한 국채발행 규모를 고려하여 금년 내에 국채 4조 원을 조기에 상환하고 동시에 2019년도 국채발행 한도는 정부예산안보다 1.8조 원만 추가 확대한다.
한창 남북경협 테마 상승세에 10.13% ↑,24일 남북경협 테마가 전일 대비 3.51% 상승하면서 강세를 보이는 가운데 관련주로 주목받고 있는 한창이 전일 대비 10.13% 상승하며 급등하고 있다. 한창은 소화방재사업 영위업체로 알려져 있다. 그래프 남북경협 테마 주요 종목 등락률씽크풀 로보알고리즘 RASSI의 분석에 따르면 한창의 퀀트 재무 점수는 1.0점으로 남북경협 관련 다른 종목 평균 보다 안정성과 수익성 성장성 점수가 모두 낮은 편이다. 이는 재무적 측면에서 한창이 다른 종목 대비 투자 매력도가 그다지 높지 않다는 것으로 해석될 수 있다. 반면에 롯데정밀화학은 다른 종목 평균 대비 높은 성장성과 안정성 수익성 점수로 퀀트 재무 순위 1위를 차지했다. 표 테마내 재무점수 상위 종목※ 퀀트 재무 점수는 로보알고리즘이 각 기업의 매출액증가율 자기자본증가율 부채비율 유동비율 ROA ROE 등을 토대로 분석한 결과이다.※ 이 기사는 아시아경제와 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.
아난티 남북경협 테마 상승세에 14.37% ↑,24일 남북경협 테마가 전일 대비 3.51% 상승하면서 강세를 보이는 가운데 관련주로 주목받고 있는 아난티가 전일 대비 14.37% 상승하며 급등하고 있다. 아난티는 휴양시설 개발 및 건설 운영 전문업체로 알려져 있다. 그래프 남북경협 테마 주요 종목 등락률씽크풀 로보알고리즘 RASSI의 분석에 따르면 아난티의 퀀트 재무 점수는 10.42점으로 남북경협 관련 다른 종목 평균 보다 안정성과 수익성 성장성 점수가 모두 낮은 편이다. 이는 재무적 측면에서 아난티가 다른 종목 대비 투자 매력도가 그다지 높지 않다는 것으로 해석될 수 있다. 반면에 롯데정밀화학은 다른 종목 평균 대비 높은 성장성과 안정성 수익성 점수로 퀀트 재무 순위 1위를 차지했다. 표 테마내 재무점수 상위 종목※ 퀀트 재무 점수는 로보알고리즘이 각 기업의 매출액증가율 자기자본증가율 부채비율 유동비율 ROA ROE 등을 토대로 분석한 결과이다.※ 이 기사는 아시아경제와 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.
인디에프 남북경협 테마 상승세에 10.93% ↑,24일 남북경협 테마가 전일 대비 3.51% 상승하면서 강세를 보이는 가운데 관련주로 주목받고 있는 인디에프가 전일 대비 10.93% 상승하며 급등하고 있다. 인디에프는 조이너스 테이트 등의 브랜드를 보유한 의류업체로 알려져 있다. 그래프 남북경협 테마 주요 종목 등락률씽크풀 로보알고리즘 RASSI의 분석에 따르면 인디에프의 퀀트 재무 점수는 12.69점으로 남북경협 관련 다른 종목 평균 보다 안정성과 수익성 성장성 점수가 모두 낮은 편이다. 이는 재무적 측면에서 인디에프가 다른 종목 대비 투자 매력도가 그다지 높지 않다는 것으로 해석될 수 있다. 반면에 롯데정밀화학은 다른 종목 평균 대비 높은 성장성과 안정성 수익성 점수로 퀀트 재무 순위 1위를 차지했다. 표 테마내 재무점수 상위 종목※ 퀀트 재무 점수는 로보알고리즘이 각 기업의 매출액증가율 자기자본증가율 부채비율 유동비율 ROA ROE 등을 토대로 분석한 결과이다.※ 이 기사는 아시아경제와 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.
남북경협 ICT·스타트업이 혁신 기회,북한 내 스마티시티·통신인프라·스타트업 생태계 조성 필요 아이뉴스24 도민선 기자 국제 정세로 인해 얼어붙은 남북한 경제협력의 불씨를 살리기 위해 혁신성을 가진 스타트업이 앞장서야 한다는 의견이 나왔다.단 스타트업의 활발한 기업활동을 위해 인프라 제도 생태계 관점의 지원 등은 과제라는 지적이다.개성공업지구지원재단 이사장 김진향 과 KAIST문술미래전략대학원은 20일 오후 서울 강남구 역삼동 팁스타운 팁스홀에서 남북 스타트업협력 환경 마련을 주제로 토론회를 열었다.2016년 이후 남한 입주기업의 활동이 중단된 개성공단은 여전히 남한과 지리적으로 가장 가까운 남북경협의 장이다.개성공단의 가치를 높이기 위해 그간 주력으로 삼아온 북한의 저임금 인력을 활용한 제조업을 넘어 새로운 사업기회를 찾아야 한다는 것. 이 같은 기회는 정보통신기술 ICT 을 기반으로 한 스타트업으로부터 나올 수 있다는게 이날 토론회의 공통된 의견이다.김진향 개성공업지구지원재단 이사장은 단순히 남측의 자본과 북측의 인력이 만나 이뤄지는 노동집약적 사업 방식은 20 30년전의 구상 이라며 개성공단이 재개되면 제재와 상관없이 남북의 스타트업이 만날 수 있는 환경이 이미 법제로 완비돼 있다 고 강조했다.정재승 KAIST 교수 문술미래전략대학원 학과장 는 스타트업과 스마트시티를 통해 남북경협의 물꼬를 틀 수 있다고 제안했다. 세종 스마트시티 국가 시범도시 사업의 마스터플래너이기도 한 정 교수는 스마트시티를 도시 내 데이터를 수집해 맞춤형 예측서비스를 제공하는 플랫폼으로 소개했다.20일 개성공업지구지원재단과 KAIST 문술미래전략대학원이 개최한 남북 스타트업협력 환경 마련 심포지엄에서 정재승 교수가 스마트시티를 통한 경제협력 방안을 소개하고 있다.정 교수는 개성공단의 저임금 노동 중심 산업과 다른 축으로 첨단도시 개발을 통한 경제협력 추진이 동시에 필요하다 며 스타트업 중심 스마트시티를 통해 북한 주민들에게 중간단계를 거치지 않고 단번도약 을 경험시킬 수 있다 고 강조했다.다만 스마트시티 구축을 위해 북한 정부가 스마트시티의 운영·관리를 감당할 능력이 있는 지 기존 시장·산업 기득권의 저항은 없는 지 남한 기업의 참여를 위해 중국의 견제·협력에 어떻게 대응해야 할 지 등을 고려 사항으로 꼽았다.현재 남북경제협력은 UN 안보리의 대북 제재와 미국의 제재 등이 현실적인 걸림돌로 작용하는 상황. 그러나 ICT 분야 스타트업 중심의 경제협력은 이를 극복할 수 있는 가능성이 있다는 분석도 나왓다.김광길 법무법인 지평 변호사는 대북제재 완화 없이는 스타트업 사업이 실현될 가능성이 낮지만 제재의 종료보다는 유예나 완화 가능성은 있다 며 이집트의 통신사 오라스콤이 북한 내에 세운 고려링크 가 북한 주민들에게 공공서비스로 이동통신 서비스를 제공하는 방식이어서 UN의 제재 대상에서 예외로 인정된 바 있다 고 말했다.스타트업의 활동을 위해 이 같은 통신인프라 구축 등 산업친화적인 환경 조성은 필수라는 설명이다.김 변호사는 스타트업의 자유로운 사업을 위해 일정한 공간에서 제한된 인터넷 연결이라도 추진해야 한다 고 강조했다.국내 통신사도 같은 입장을 보였다.이찬수 SK텔레콤 남북협력기획팀장은 개성공단의 지속가능성을 담보하기 위해 남한과 동등한 수준의 초고속통신망과 이동통신망을 확장할 필요가 있다 며 ICT를 활용해 공단 내 정주여건을 개선하고 생산시설에 모바일 기반 스마트솔루션 스마트에너지 솔루션을 구축해야 한다 고 제안했다.제재와 인프라뿐만 아니라 북한 내 스타트업 생태계 구축을 위한 문화적 과제도 거론됐다.임정욱 스타트업얼라이언스 센터장은 미국의 실리콘밸리는 인재 시장 자본이 조화롭게 어우러진 최적의 생태계가 있어 혁신회사들이 나타날 수 있었다 고 강조했다.최성진 코리아스타트업포럼 대표는 북한 내에도 다수의 스타트업이 있고 신산업과 신기술에 대한 유연한 규제가 적용될 가능성이 있는 등 기회요인이 있다 며 단순한 생산기지가 아닌 스타트업 생태계를 조성하기 위해 벤처캐피탈 엑셀러레이터 공유오피스 등이 만들어져야 한다 고 제언했다.
민주·한국 종부세 또 깎았다…남북경협 예산도 1천억 삭감,선거개혁 패싱 양당 합의문 내용 보니… 일자리·남북 깎고 SOC 늘려  곽재훈 기자  더불어민주당과 자유한국당이 야3당의 선거제도 개혁안 연계 요구를 거부하고 확정한 예산 관련 합의문이 공개됐다. 홍영표 민주당 원내대표와 김성태 한국당 원내대표는 6일 오후 국회에서 김동연 경제부총리와 함께 합의문 내용을 발표했다. 양당 합의 내용을 보면 이들은 예산안 및 기금안 부수법안 등을 7일 또는 8일 새벽 본회의에서 처리하되 정부 예산안에서 일자리 예산 및 남북협력기금 일반회계 전입금 등을 포함해 총 5조 원 이상 을 깎아내기로 했다. 이는 한국당의 요구에 따른 것이다. 삭감 대상이 된 일자리 예산으로는 취업성공패키지 청년내일채움공제 청년구직활동지원금 청년추가고용장려금 등 이 꼽혔다. 또 양당은 공무원 증원과 관련해 정부 요구 인력 중 3000명을 감축 하기로 했다. 이 역시 한국당이 강하게 주장하던 내용이다. 남북협력기금 삭감 폭은 1000억 원 정도 일자리 예산 삭감분은 5000억 원 내외라고 양당 원내대표는 설명했다. 홍 원내대표는 다만 정부가 추진하고자 하는 사업들에 지장이 없는 범위 라고 부연했다. 증액된 부분은 과거 민주당이 토목 예산 이라며 반발하던 SOC 사회간접자본 였다. 양당은 경제 활성화와 일자리 확대 및 지역 균형발전을 위해 2019년도 SOC 예산을 확대 조정한다 는 데 합의했다. 홍 원내대표는 SOC 증액 규모는 18조5000억 원 이라며 한국당은 더 늘리자고 했는데 민주당은 예산에 직접 반영하지는 말고 다른 방안을 찾아보자고 했다 고 전했다. 예산 부수법안인 세법과 관련해서도 진보진영이 후퇴 로 평가할 만한 내용이 담겼다. 양당은 9.13 부동산 대책 당시 조정대상지역 내 다주택자의 세 부담을 현행 150%에서 300%로 인상하기로 한 것과 관련 세 부담 상한을 300%가 아닌 200%로 완화 하기로 합의했다. 양당은 또 1세대 1주택자의 보유 기간에 대한 세액공제율을 15년 이상 보유시 50%로 상향 연령에 따른 세액공제율과 합산 최대 70% 하는 방안 에도 합의했다. 9.13 대책에서는 거주 기간이 2년 미만일 경우 15년 이상 보유해도 세액공제율은 30%로 제한됐었다. 민주당 측의 주장이 반영된 것으로 해석되는 것은 고용보험 지급수준을 현행 평균임금 50%에서 60%로 상향하고 지급 기간을 최장 270일 현행 120일 로 늘리는 등 고용보험 보장성을 강화한 것과 근로장려세제 EITC 혜택을 정부안 원안대로 유지한 것 등이 꼽힌다. 여야는 또 앞서 국회 보건복지위원회에서 합의한 대로 내년 1월부터 소득 수준과 무관하게 0 5세 아동 100%에게 월 10만 원의 아동수당을 지급하고 같은해 9월부터는 초등학교 입학 전 모든 아동으로 지급 대상을 확대하기로 했다. 한편 여야 양당은 예산 합의와는 별도로 이른바 유치원 3법 에 대해 7일 본회의에서 처리하도록 논의했다고 홍 원내대표가 밝혔다. 그는 내일 오전 중에 원내대표들끼리 교육위 간사들을 불러놓고 조율해서 최종적으로 처리하려 한다 며 김 원내대표도 원칙적으로 내일 처리하자는 데 동의했다 고 전했다. 다음은 양당 합의문 전문 全文 . 2019 예산안 관련 여야 합의문 여야는 2019년도 예산안과 관련하여 다음과 같이 합의하였다.1. 20019년도 예산안은 2017 회계연도 결산 및 예비비지출 승인의 건 2018년도 순국선열·애국지사사업 기금운용계획변경안과 함께 12월7일 본회의에서 처리한다.2. 2019년도 예산안 중 감액 규모는 취업성공패키지 청년내일채움공제 청년구직활동지원금 청년추가고용장려금 등 일자리 예산 및 남북협력기금의 일반회계 전입금 등을 포함하여 총 5조원 이상으로 한다.3. 고용보험의 구직급여 지급수준 상향 평균임금의 50%→60% 및 지급기간 연장 90일 20일→120일 270일 등 보장성 강화 방안은 고용보험법 개정을 통해 2019년도 7월부터 시행한다.4. 2019년도 국가직 공무원은 필수인력인 의경대체 경찰인력 및 집배원의 정규직 전환 등을 제외한 정부의 증원 요구인력 중 3000명을 감축한다.5. 아동수당은 2019년도 1월부터 소득수준과 관계없이 만 0세에서 만 5세까지 아동을 대상으로 월 10만 원을 지급하고 2019년도 9워부터는 지급대상을 초등학교 입학 전 아동 최대 생후 84개월 까지 확대한다. 정부는 저출산 극복을 위해 연구용역 등을 통해 아동수당의 확대 및 출산장려금 난임치료 확대 등 출산 지원 제도의 획기적인 발전방안을 마련한다.6. 정부는 지방자치단체와 협의하여 지방자치단체 예산편성 운영 기준 개정을 통해 이 통장 활동수당을 인상하는 방안을 강구하고 경제활성화와 일자리 확대 및 지역균형 발전을 위하여 2019년도 SOC예산을 확대 조정한다.7. 지방소비세는 지방의 자주재원 확충을 위해 현행 부가가치세의 11퍼센트에서 15퍼센트로 인상한다.8. 근로장려세제 ETTC 는 정부안을 유지하되 2018년 9월 13일에 발표한 주택시장 안정대책 에 따른 종합부동산세는 조장대상 지역내의 2주택에 대한 세부담 상환을 200%로 완화하고 1세대 1주택자의 보유기간에 대한 세액공제율을 15년 이상 보유시 50%로 상향 연령에 대한 세액공제율과 합하여 최대 70% 한다 하는 방안을ㄹ 반영하여 세입예산 부수법안과 함께 처리한다.9. 정부는 2019년도 예산안이 국회에 제출된 이후 추진된 지방재정분권에 따른 지방소비세 인상 유류세 인하 등으로 발생한 국채발행 규모를 고려하여 금년 내에 국채 4조 원을 조기에 상환하고 동시에 2019년도 국채발행 한도는 정부예산안보다 1.8조 원만 추가 확대한다.
10억대 분양권인데…재산관리 안해서 존재 몰랐다는 김홍걸,김홍걸 더불어민주당 의원. 연합뉴스 김진애 열린민주당 의원이 부동산 문제로 잇따라 구설에 오른 김홍걸 더불어민주당 의원을 정면 비판했다. 김홍걸 의원이 4·15 총선 당시 재산신고에서 고액의 분양권을 누락한 사실이 뒤늦게 논란이 되면서다. 김진애 의원은 9일 페이스북에서 “조수진에 이어 김홍걸 실망이 크다”면서 “국회의원 재산신고 변화를 전수조사해야 한다”고 주장했다. 그는 “공시지가 변화나 주식 실거래가 신고제 전환 외의 현금성 자산 증가는 고의적 누락의 단초”라고도 했다. 김진애 열린민주당 의원 페이스북. 한편 최근 공직자윤리위원회가 공개한 국회의원 재산신고에 따르면 김 의원은 67억원의 재산을 등록했다. 당선 전 김 의원이 신고한 재산 58억원에서 10억원 가까이 늘어난 것이다. 특히 김 의원의 배우자 예금이 1억 1000만원이 11억7000만원으로 크게 늘었다. 이는 김 의원 배우자가 2016년에 샀다가 올해 2월에 판 서울 고덕동 아파트 분양권 대금이 최근 신고 내역에 포함된 데 따른 것으로 전해졌다. 이 분양권은 지난 총선 때 재산신고에는 포함되지 않았다. 김 의원은 당시 서울 동교동 김대중 전 대통령 사저 강남구 일원동과 서초구 반포동 아파트 등 3채만 신고했다. 김 의원 측은 고의로 누락한 건 아니라는 입장이다. 김 의원 측은 연합뉴스에 “의원 본인이 재산 관리를 직접 하지 않아 분양권 존재 자체를 몰랐고 분양권이 신고 대상인지도 몰랐다”고 해명했다. 또 최근 신고 내역 중 김 의원 배우자가 소유한 서울 서대문구 상가의 대지 면적과 신고 가액이 총선 전과 달라진 부분에 대해선 “보좌진이 등기부 등본을 착오해 잘못 신고한 것”이라고 말했다. 재산 문제를 두고 김 의원이 구설에 오른 건 이번이 처음이 아니다. 김 의원은 앞서 다주택 문제로 지적이 나오자 매각 대신 자녀에게 증여해 논란이 된 데 이어 이해충돌 소지가 있는 남북경협 테마주 보유 사실이 알려지며 비판을 샀다.
北도발에 방산株 오르고 남북경협株 내리고…휴니드·빅텍 상한가,코스피·코스닥 강보합에도 관련주는 들썩…아난티 9.83%17일 경기도 접경지역에서 바라본 북한군 초소 모습. 2020.6.17 뉴스1 © News1 김명섭 기자 서울 뉴스1 권혜정 기자 북한이 개성공단 남북공동연락사무소를 폭파하는 등 도발 수위를 높이자 방위산업주들이 급등했다. 반면 남북경협 관련주는 일제히 하락했다. 17일 한국거래소에 따르면 방위산업 관련주로 꼽히는 휴니드는 전일 대비 2100원 30.00% 오른 9100원 상한가 로 거래를 마쳤다. 빅텍과 스페코도 상한가를 쳤다. 빅텍은 전일 대비 2070원 29.91% 오른 8990원으로 마감했다. 스페코도 전일 대비 1780원 29.92% 오른 7730원으로 거래를 마쳤다. 이밖에 퍼스텍 26.92% 한화에어로스페이스 13.71% 한화시스템 9.32% LIG넥스원 6.30% 이디티 5.33% 한국항공우주 4.98% 등도 올랐다. 반면 남북경협주는 남북 긴장감 고조에 휘청였다. 금강산 관광지구에 골프장과 리조트 운영권을 갖고 있는 아난티는 전일 대비 930원 9.83% 내린 8530원에 거래를 마쳤다. 이밖에 인디에프 8.69% 일신석재 8.00% 신원 7.32% 좋은사람들 7.31% 조비 4.07% 현대엘리베이터 3.88% 등도 하락했다. 한편 이날 코스피와 코스닥은 등락을 거듭한 끝에 강보합으로 거래를 마치면서 북한 리스크 영향은 우려만큼 크지 않았다. 박소연 한국투자증권 연구원은 북한의 도발에도 금융시장은 별다른 반응을 보이지 않고 있다 며 현재 금융시장의 최대 화두는 신종코로나바이러스 감염증 2차 팬데믹과 이에 대응하는 부양책의 강도 향후 경기 궤적으로 북한 이슈 자체가 크게 화두로 자리하지는 않을 것 이라고 전망했다.
신년사 현정은 현대그룹 회장 남북경협 희망 잃지말자…신뢰 있어,서울 연합뉴스 김영신 기자 업무에 대한 열정이 절실합니다. 현대엘리베이터가 중국 상하이에 신공장을 짓고 있고 올해 초 충주 본사 이전을 위한 역사적인 첫 삽을 뜰 예정입니다. 힘찬 도약을 향한 발걸음에 속도를 내야 합니다. 남북경협사업을 위한 든든한 자산은 바로 신뢰 입니다. 정주영 명예회장께서는 사업은 망해도 다시 일으킬 수 있지만 신용은 한번 잃으면 그것으로 끝장이다. 라고 말씀하셨습니다. 그동안 우리는 어려운 현실과 여건 속에서도 남북경협사업 재개를 위해 착실히 준비하고 기다려 왔습니다. 2008년 금강산 관광 중단 이후 남북경협 사업이 멈춰 있으나 희망을 잃지 맙시다. 남북경협 사업자로서 우리에게는 그동안 쌓아 온 신뢰라는 든든한 자산이 있습니다. 그 신뢰가 동력이 되어 남북 경협의 새로운 미래가 펼쳐질 것으로 확신합니다. 남북 공동의 번영과 평화 정착 통일의 초석을 놓는다는 묵직한 사명감을 잊지 말고 더 당당하고 적극적인 자세로 임해주시길 바랍니다. 변화와 혁신에 가속도를 내야 합니다. 최근 모빌리티 협동로봇 빅데이터 등 기술적 변화와 공유 뉴트로 매너소비 등 생활의 변화가 동시에 진행되고 있습니다. 이러한 변화에 편승하고 주도하기 위해서는 우리 스스로 변화와 혁신에 가속도를 냅시다.
신년사현정은 회장 남북경협 사업 생명은 신뢰,서울 뉴시스 김지은 기자 현정은 현대그룹 회장은 2일 신년사를 통해 남북경협사업을 위한 든든한 자산은 바로 신뢰 라며 철저한 준비를 당부했다.현 회장은 2일 연지동 현대그룹빌딩 대강당에서 개최된 그룹시무식에서 정주영 명예회장님께서는 사업은 망해도 다시 일으킬 수 있지만 신용은 한번 잃으면 그것으로 끝장 이라고 말씀하셨다 며 이같이 말했다.그는 그동안 우리는 어려운 현실과 여건 속에서도 남북경협사업 재개를 위해 착실히 준비하고 기다려 왔다 며 우리 발걸음은 2008년 금강산관광 중단 이후 멈추었지만 희망을 잃지 말자 고 직원들을 독려했다. 그러면서 남북경협 사업자로서 우리에게는 그동안 쌓아 온 신뢰라는 든든한 자산이 있고 그 신뢰가 동력이 되어 남북 경협의 새로운 미래가 펼쳐질 것으로 확신한다 고 했다.이어 남북 공동의 번영과 평화 정착 통일의 초석을 놓는다는 묵직한 사명감을 잊지 말고 보다 당당하고 적극적인 자세로 임해 달라 고 당부했다.해외시장 공략도 강조했다.현 회장은 현대엘리베이터는 중국 상해에 신공장을 짓고 있다. 중국은 연간 수요 60만대에 이르는 세계 최대 시장으로 현대엘리베이터는 1993년 중국에 첫발을 디딘 이래 이번 신공장 준공으로 기존 공장보다 세 배가 넘는 연간 2만5000대 생산 능력을 중기적으로 확보하게 된다 며 해외시장 공략과 재도약의 성패가 중국시장에 달려있는 만큼 성공적인 신공장 준공과 중국 내수실적 성장이 반드시 필요하다 고 힘주었다.현회장은 나 하나 꽃 피어 풀밭이 달라지겠냐고 말하지 말아라 네가 꽃 피고 나도 꽃 피면 결국 풀밭이 온통 꽃밭이 되는 것 아니겠느냐 는 조동화 시인의 시구를 인용하며 사람이 사람에게 기적이 될 수 있다는 믿음을 갖자 고 덧붙였다.
현정은 현대그룹 회장 남북경협 자산은 신뢰…희망 잃지 말자,CBS노컷뉴스 조혜령 기자 현정은 현대그룹 회장 사진 연합뉴스 현정은 현대그룹 회장은 2일 신년사에서 남북경협사업의 든든한 자산은 신뢰 라며 남북경협사업을 철저히 준비해 나가자고 강조했다. 현 회장은 2일 연지동 현대그룹빌딩 대강당에서 개최된 그룹시무식에서 정주영 명예회장께서는 신용은 한 번 잃으면 그것으로 끝장이라고 말씀하셨다 며 이같이 말했다. 그는 그동안 우리는 어려운 현실과 여건 속에서도 남북경협사업 재개를 위해 착실히 준비하고 기다려 왔다 며 남북경협 사업자로서 우리에게는 그동안 쌓아 온 신뢰라는 든든한 자산이 있고 그 신뢰가 동력이 되어 남북 경협의 새로운 미래가 펼쳐질 것으로 확신한다 고 강조했다. 이어 남북 공동의 번영과 평화 정착 통일의 초석을 놓는다는 묵직한 사명감을 잊지 말고 보다 당당하고 적극적인 자세로 임해 달라 고 당부했다. 나 하나 꽃 피어 풀밭이 달라지겠냐고 말하지 말아라 네가 꽃 피고 나도 꽃 피면 결국 풀밭이 온통 꽃밭이 되는 것 아니겠느냐 는 조동화 시인의 싯구로 신년사를 마무리한 현 회장은 사람이 사람에게 기적이 될 수 있다는 믿음을 갖자 고 덧붙였다.
